play order,title,artist,track.external_urls.spotify,track.duration_ms,track.popularity,track.track_number,track.uri,track.album.name,track.album.release_date
2,The Golden Age of Rock 'n' Roll,Mott The Hoople,https://open.spotify.com/track/2M9aZcP4xcDiEvEChmHTsx,204093,25,1,spotify:track:2M9aZcP4xcDiEvEChmHTsx,The Hoople,1974
3,"Rock And Roll, Hootchie Koo",Rick Derringer,https://open.spotify.com/track/5G7yKOQxh1RjxNeRdgoeW0,220494,33,1,spotify:track:5G7yKOQxh1RjxNeRdgoeW0,"Rock And Roll, Hootchie Koo",2015-02-24
4,No More Heroes,The Stranglers,https://open.spotify.com/track/2Q7vTDvHLPGuUS5YEVHnNj,208720,0,10,spotify:track:2Q7vTDvHLPGuUS5YEVHnNj,Original New Wave,2020-07-31
5,Sex & Drugs & Rock & Roll,Ian Dury,https://open.spotify.com/track/0DPdnWavHdhB5hJ6O0qS6d,186626,51,11,spotify:track:0DPdnWavHdhB5hJ6O0qS6d,New Boots and Panties!!,1977-09-30
6,"Me, I Disconnect From You",Gary Numan / Tubeway Army,https://open.spotify.com/track/5zJTXLI9SP4kr95ed5qqu7,202733,31,1,spotify:track:5zJTXLI9SP4kr95ed5qqu7,Replicas Redux,1979
7,Shoo Be Doo,The Cars,https://open.spotify.com/track/4b352js1XPPKfsA6Qxy6fb,98226,31,5,spotify:track:4b352js1XPPKfsA6Qxy6fb,Candy-O,1979
8,Candy-O,The Cars,https://open.spotify.com/track/6tVcoaFJVBmHWctf8qC8pK,156133,45,6,spotify:track:6tVcoaFJVBmHWctf8qC8pK,Candy-O,1979
9,Hey St. Peter,Flash and the Pan,https://open.spotify.com/track/0LjtuCIQ9VNBnNgH1Wpe7S,264626,46,1,spotify:track:0LjtuCIQ9VNBnNgH1Wpe7S,Collection,1995-01-01
10,Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,https://open.spotify.com/track/5UwbnHhjnbinJH8TefuQfN,199200,64,7,spotify:track:5UwbnHhjnbinJH8TefuQfN,Distant Light (1999 Remaster),1971-10-08
11,Stay in Time - LP & Single Version,Off Broadway,https://open.spotify.com/track/2lHmJewRJLHz9ST1J5Lzcj,173533,21,1,spotify:track:2lHmJewRJLHz9ST1J5Lzcj,On,1980-01-07
