index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
101,"""B"" Movies",Fabulous Poodles,Fabulous Poodles,"""B"" Movies",Unsuitable,7,1978-10-02,spotify:track:2UBz9WaBdqjWL7ueYykUZa,-101
438,(Ain't Nothin' but A) House Party,The J. Geils Band,The J. Geils Band,(Ain't Nothin' but A) House Party,Best Of The J. Geils Band,4,1979-06-05,spotify:track:460CrLDOX6lopMGzb60GMr,NA
157,(Don't Fear) The Reaper,Blue Öyster Cult,Blue Öyster Cult,(Don't Fear) The Reaper,Agents Of Fortune,3,1976,spotify:track:5QTxFnGygVM4jFQiBovmRo,-157
266,(I Live For) Cars and Girls,The Dictators,The Dictators,(I Live For) Cars and Girls,Go Girl Crazy!,9,1975-03-29,spotify:track:0OIclmUecLQo5hyHhhLcFF,-266
81,(I Never Loved) Eva Braun,The Boomtown Rats,The Boomtown Rats,(I Never Loved) Eva Braun,A Tonic For The Troops,3,2005-01-01,spotify:track:0Za1RTPrmcg6DsZTaZvcG0,-81
231,11:59,Blondie,Blondie,11:59,Parallel Lines,7,1978-09-23,spotify:track:0yAi8iKRgy90VuNNZd3zhz,-231
NA,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,Rush,Rush,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,2112,1,1976-04-01,spotify:track:5H8xFHau0x3PI1CssO6EaX,NA
299,52 Girls,The B-52's,The B-52's,52 Girls,The B-52's,2,1979-07-11,spotify:track:0hV8cbzJubHKLSFIsBnYUo,-299
58,99,TOTO,TOTO,99,Hydra,3,1979-10-01,spotify:track:2R3E4xKmy7lyieBKONkIMT,-58
239,A.C.D.C.,Sweet,Sweet,A.C.D.C.,Desolation Boulevard,4,1974-11,spotify:track:36ezEcDyFfBC4gNVMhitzG,-239
78,Accidents Will Happen,Elvis Costello & The Attractions,Elvis Costello & The Attractions,Accidents Will Happen,Armed Forces,1,1979,spotify:track:7oR6vPgaw4QlXXmJ8IfKMg,-78
228,Across the Border,Electric Light Orchestra,Electric Light Orchestra,Across the Border,Out of the Blue,4,1977,spotify:track:1u3hy4sFcXyAwLmD6TmEnb,-228
206,Airport,The Motors,The Motors,Airport,Approved By The Motors,1,1978-01-01,spotify:track:6F0CQMioZrqgkp3oHx4hpY,-206
124,All I Want Is You,Roxy Music,Roxy Music,All I Want Is You,Country Life (Remastered),3,1974-11-01,spotify:track:1egCIlK7j1ioz15rh3BYHN,-124
435,All Mixed Up,The Cars,The Cars,All Mixed Up,The Cars,9,1978-06-06,spotify:track:35jXTF1ALlzkrS2k1B5dkF,-435
381,All My Love - 1990 Remaster,Led Zeppelin,Led Zeppelin,All My Love - 1990 Remaster,In Through the out Door (1994 Remaster),6,1979-08-15,spotify:track:6lrh9jZ1xoMwoErgPSj2rY,NA
379,All Tomorrow's Parties,The Velvet Underground,The Velvet Underground,All Tomorrow's Parties,The Velvet Underground & Nico 45th Anniversary,6,1967-03-12,spotify:track:1mL6q0gbifm2dBTvMBx4px,-379
27,Aloha Steve & Danno,Radio Birdman,Radio Birdman,Aloha Steve & Danno,The Essential Radio Birdman,1,2001-07-17,spotify:track:2n4yt6ZWeOjY31bC5U0I1j,NA
259,And the Cradle Will Rock... - 2015 Remaster,Van Halen,Van Halen,And the Cradle Will Rock... - 2015 Remaster,Women and Children First (Remastered),1,1980-03-26,spotify:track:4MM0jT9z9m7VFiusFrGJ8C,-259
199,Angels,Lene Lovich,Lene Lovich,Angels,Flex,3,2007-01-02,spotify:track:62yB0rvilEnpxQYjaxwqGk,-199
15,"Another Brick in the Wall, Pt. 2",Pink Floyd,Pink Floyd,"Another Brick in the Wall, Pt. 2",The Wall,5,1979-11-30,spotify:track:4gMgiXfqyzZLMhsksGmbQV,-15
62,Another Nail In My Heart,Squeeze,Squeeze,Another Nail In My Heart,Argybargy,2,1980,spotify:track:7c3WIsUNdaMNbQQzL1Q56l,-62
66,Anytime,Journey,Journey,Anytime,Infinity,3,1978,spotify:track:2dcskJYRu9mMVPpAGJl3Er,-66
376,Astronomy,Blue Öyster Cult,Blue Öyster Cult,Astronomy,Secret Treaties,8,1974-04-01,spotify:track:2g02rt0UFudctbAnmJsm22,-376
